Start Time:  11/10/2018 2:31:50 AM        Time Completed:  11/10/2018 3:44:02 AM    Elapsed Time:  01:12:12
Sample ID:     BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15 

Experiment:    C:\IDEASVSM\Default UserID\Experiments\HysCoFe2O4_Completa\HysCoFe2O4_Completa.exp
Data File:     C:\IDEASVSM\Default UserID\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15  (ProfileData)\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15 #10.txt
Plot File:     C:\IDEASVSM\Default UserID\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15  (ProfileData)\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15 #10.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\HysCoFe2O4_Completa\HysCoFe2O4_Completa.stp
VSM Data File: C:\IDEASVSM\Default UserID\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15  (ProfileData)\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15 #10.dat

***DATA***

Field(Oe)	 Moment(emu)	
-4.6069472 	-0.000060597784 	
-3.693413 	-0.000060003838 	
-2.7776168 	-0.00006288857 	
-1.870663 	-0.000063232744 	
-0.96196127 	-0.000059798211 	
-0.054256728 	-0.000061737191 	
 0.8607795 	-0.00005945104 	
 1.7796933 	-0.000066244051 	
 2.6785075 	-0.000063536786 	
 3.5950506 	-0.000063028528 	
 4.5012861 	-0.000063309289 	
 7.1032089 	-0.000061255103 	
 11.857339 	-0.000057333763 	
 16.600545 	-0.000060519348 	
 21.353746 	-0.000054950029 	
 26.101704 	-0.000059414011 	
 30.850232 	-0.000053852058 	
 35.600277 	-0.000053662017 	
 40.353978 	-0.000046794795 	
 45.091358 	-0.000051192878 	
 49.840889 	-0.000047658253 	
 54.603969 	-0.000043971302 	
 59.297745 	-0.000043684052 	
 64.098654 	-0.000042944347 	
 68.849729 	-0.000046617831 	
 73.593751 	-0.000038994693 	
 78.343484 	-0.000028752248 	
 83.090819 	-0.000029948084 	
 87.844553 	-0.000035043383 	
 92.57044 	-0.00003161797 	
 97.297354 	-0.000026619574 	
 108.44489 	-0.000020451178 	
 128.39955 	-0.000014226887 	
 148.39154 	-0.000012093969 	
 168.40744 	-0.0000041760462 	
 188.39583 	 0.000007966077 	
 208.39024 	 0.000012736754 	
 228.38773 	 0.000018136865 	
 248.39152 	 0.000032386567 	
 268.39745 	 0.000043655479 	
 288.38828 	 0.000041543226 	
 308.385 	 0.000052107563 	
 328.37766 	 0.00005640374 	
 348.37057 	 0.000065112733 	
 368.38012 	 0.000067146924 	
 388.37081 	 0.000074896881 	
 408.3618 	 0.000081076304 	
 428.35093 	 0.000092177777 	
 448.35048 	 0.000099385368 	
 468.35593 	 0.000099070208 	
 488.34856 	 0.00011490875 	
 510.01069 	 0.00011810372 	
 534.96907 	 0.00012124029 	
 559.96491 	 0.00013681818 	
 584.9549 	 0.00014098315 	
 609.96361 	 0.00014693364 	
 634.9667 	 0.00015798297 	
 659.95833 	 0.00015844152 	
 684.96853 	 0.00017052798 	
 709.96362 	 0.00017974923 	
 734.96028 	 0.00019067064 	
 759.96802 	 0.00019548628 	
 784.97026 	 0.00020023369 	
 809.96797 	 0.00021303833 	
 834.97182 	 0.00021948701 	
 859.96572 	 0.00022711758 	
 884.95949 	 0.00022796105 	
 909.96514 	 0.00023314633 	
 934.9769 	 0.00025677637 	
 959.96443 	 0.00026278906 	
 984.97475 	 0.00026163905 	
 1120.0495 	 0.00030564379 	
 1394.6525 	 0.00038511088 	
 1671.3692 	 0.00045150561 	
 1947.4294 	 0.00052343966 	
 2222.4295 	 0.00060317194 	
 2497.4235 	 0.00067387329 	
 2772.4159 	 0.00075352177 	
 3047.3846 	 0.00082778396 	
 3322.3818 	 0.00091009488 	
 3597.3384 	 0.00097187967 	
 3872.3141 	 0.0010448616 	
 4147.2923 	 0.0011087751 	
 4422.2554 	 0.0011785725 	
 4697.2277 	 0.0012516735 	
 4972.212 	 0.0013368051 	
 5247.2045 	 0.0014053056 	
 5522.142 	 0.0014911823 	
 5797.1415 	 0.0015611278 	
 6072.0891 	 0.0016379427 	
 6347.0904 	 0.0017073168 	
 6622.0578 	 0.0017911632 	
 6897.0267 	 0.0018643412 	
 7171.9976 	 0.0019311769 	
 7446.9583 	 0.0020076358 	
 7721.9371 	 0.0020671164 	
 7996.8802 	 0.0021406599 	
 8271.8244 	 0.0022087293 	
 8546.7596 	 0.0022776495 	
 8821.6835 	 0.0023611647 	
 9096.5858 	 0.002433558 	
 9371.4893 	 0.0024916877 	
 9646.3638 	 0.0025777999 	
 9921.2301 	 0.0026418187 	
 10196.105 	 0.0027185759 	
 10470.918 	 0.0028040485 	
 10745.759 	 0.0028660878 	
 11020.555 	 0.002932035 	
 11295.367 	 0.0030018809 	
 11570.141 	 0.0030821872 	
 11844.918 	 0.0031690234 	
 11852.478 	 0.0031604078 	
 11576.844 	 0.0030959811 	
 11301.32 	 0.0030113849 	
 11025.948 	 0.0029477602 	
 10750.601 	 0.0028762998 	
 10475.31 	 0.002811883 	
 10200.047 	 0.0027261456 	
 9924.8469 	 0.0026620521 	
 9649.648 	 0.002589815 	
 9374.5103 	 0.0025212608 	
 9099.3888 	 0.0024494482 	
 8824.3206 	 0.0023821846 	
 8549.2119 	 0.002329428 	
 8274.1467 	 0.0022426427 	
 7999.098 	 0.0021771747 	
 7724.0681 	 0.0021027998 	
 7449.0276 	 0.0020286594 	
 7173.9788 	 0.0019629423 	
 6898.9585 	 0.0018846554 	
 6623.9472 	 0.0018192559 	
 6348.9041 	 0.0017337592 	
 6073.8836 	 0.0016541528 	
 5798.8584 	 0.0016147912 	
 5523.8427 	 0.0015216725 	
 5248.8085 	 0.0014433843 	
 4973.7631 	 0.0013702291 	
 4698.7701 	 0.0012906857 	
 4423.7475 	 0.0012236834 	
 4148.6996 	 0.0011545072 	
 3873.6901 	 0.0010868826 	
 3598.6594 	 0.0010124379 	
 3323.6408 	 0.00092823022 	
 3048.6235 	 0.00085686372 	
 2773.6169 	 0.00079626465 	
 2498.57 	 0.00072527479 	
 2223.5786 	 0.00063157949 	
 1948.5711 	 0.00054888948 	
 1673.5553 	 0.00048358404 	
 1398.5315 	 0.00039567121 	
 1123.8898 	 0.00031898104 	
 977.76075 	 0.00027938197 	
 927.84389 	 0.00025698221 	
 877.84365 	 0.0002551667 	
 827.84988 	 0.00023046146 	
 777.85166 	 0.00022450177 	
 727.63769 	 0.00020121713 	
 677.3404 	 0.00019411268 	
 627.35856 	 0.00017331492 	
 577.34646 	 0.00014041012 	
 527.35184 	 0.00013800009 	
 492.75987 	 0.00010988338 	
 472.74007 	 0.00012155362 	
 452.59953 	 0.0001068621 	
 432.60477 	 0.00011203593 	
 412.60729 	 0.000096752412 	
 392.61251 	 0.000084782159 	
 372.61931 	 0.000082201132 	
 352.62219 	 0.000075619041 	
 332.6386 	 0.000074288875 	
 312.63378 	 0.000058420202 	
 292.62661 	 0.000057702626 	
 272.64443 	 0.000046533745 	
 252.6519 	 0.000041937606 	
 232.65558 	 0.000044249149 	
 212.66507 	 0.00002662543 	
 192.65893 	 0.000025530364 	
 172.66807 	 0.000005856165 	
 152.67337 	 0.0000094188897 	
 132.6812 	-0.0000041868973 	
 112.68465 	-0.000014785907 	
 97.769274 	-0.000024921482 	
 87.771041 	-0.0000195013 	
 77.693315 	-0.000027112284 	
 67.695976 	-0.000033671614 	
 57.662898 	-0.000031942081 	
 47.70281 	-0.000047955592 	
 37.701907 	-0.000055710353 	
 27.709471 	-0.000054375399 	
 17.720094 	-0.000049522497 	
 7.7033118 	-0.00005924504 	
-2.2956157 	-0.000057266704 	
-12.302433 	-0.000069494753 	
