Start Time:  10/1/2018 2:09:14 PM         Time Completed:  10/1/2018 3:18:07 PM     Elapsed Time:  01:08:52
Sample ID:     BFO_475_SV_300K_MvsH_011018

Experiment:    C:\IDEASVSM\Default UserID\Ciro-nanoDiscos\2018\a-RU_EB_3\a-RU_EB_3.exp
Data File:     C:\IDEASVSM\Default UserID\OSCAR GARZON\V2O3Ni_Inplane\NUEVOS DATOS\100K\BFO_475_SV_300K_MvsH_011018#1.txt
Plot File:     C:\IDEASVSM\Default UserID\OSCAR GARZON\V2O3Ni_Inplane\NUEVOS DATOS\100K\BFO_475_SV_300K_MvsH_011018#1.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Ciro-nanoDiscos\2018\a-RU_EB_3\a-RU_EB_3.stp
VSM Data File: C:\IDEASVSM\Default UserID\OSCAR GARZON\V2O3Ni_Inplane\NUEVOS DATOS\100K\BFO_475_SV_300K_MvsH_011018#1.dat

***DATA***

Field(Oe)	 Moment(emu)	
-9.1037768 	-0.000010118912 	
-7.2744465 	-0.000010378868 	
-5.4527246 	-0.000010812238 	
-3.6571184 	-0.0000060516885 	
-1.8274796 	-0.0000050990288 	
-0.0032363373 	-0.0000049535686 	
 1.812265 	-0.0000026166799 	
 3.6413313 	-0.0000032646392 	
 5.4464841 	-0.0000019001802 	
 7.2703966 	 0.00000064259166 	
 9.0826615 	 0.00000028391638 	
 56.165711 	 0.000032321045 	
 155.14567 	 0.000091227924 	
 254.16033 	 0.00014989534 	
 353.77842 	 0.00021354296 	
 453.19202 	 0.00026909751 	
 552.20113 	 0.00032567702 	
 651.22044 	 0.00037507583 	
 750.22701 	 0.00042469291 	
 849.23207 	 0.00047024942 	
 948.24659 	 0.00052163819 	
 1146.8204 	 0.00061279815 	
 1461.0002 	 0.00076207839 	
 1775.3081 	 0.00090426184 	
 2089.6239 	 0.0010433631 	
 2403.902 	 0.0011776657 	
 2718.0874 	 0.001313408 	
 3032.3386 	 0.001443846 	
 3346.5833 	 0.0015687984 	
 3660.8144 	 0.0017003059 	
 3975.0138 	 0.0018250472 	
 4289.256 	 0.0019561681 	
 4603.4841 	 0.0020620638 	
 4917.7006 	 0.0021907232 	
 5235.0844 	 0.0023029428 	
 5549.2973 	 0.0024302593 	
 5863.489 	 0.0025478216 	
 6177.7757 	 0.0026678053 	
 6495.0689 	 0.0027878793 	
 6809.3618 	 0.0029006957 	
 7123.5437 	 0.0030179919 	
 7437.7966 	 0.0031296565 	
 7752.0247 	 0.0032598359 	
 8066.2259 	 0.0033825244 	
 8380.4124 	 0.003489142 	
 8694.5889 	 0.0035968352 	
 9008.7738 	 0.0037146223 	
 9322.933 	 0.0038416715 	
 9637.0464 	 0.0039604191 	
 9951.1702 	 0.0040805121 	
 10265.239 	 0.0041901327 	
 10579.332 	 0.0042895271 	
 10893.354 	 0.004400861 	
 11207.414 	 0.0045327645 	
 11521.39 	 0.0046421174 	
 11835.375 	 0.004749408 	
 11860.34 	 0.0047675211 	
 11545.374 	 0.0046770997 	
 11230.719 	 0.0045644865 	
 10916.197 	 0.0044533298 	
