Start Time:  10/1/2018 12:29:40 PM        Time Completed:  10/1/2018 1:38:12 PM     Elapsed Time:  01:08:31
Sample ID:     BFO_425_SV_300K_MvsH_011018

Experiment:    C:\IDEASVSM\Default UserID\Ciro-nanoDiscos\2018\a-RU_EB_3\a-RU_EB_3.exp
Data File:     C:\IDEASVSM\Default UserID\OSCAR GARZON\V2O3Ni_Inplane\NUEVOS DATOS\100K\BFO_425_SV_300K_MvsH_011018#2.txt
Plot File:     C:\IDEASVSM\Default UserID\OSCAR GARZON\V2O3Ni_Inplane\NUEVOS DATOS\100K\BFO_425_SV_300K_MvsH_011018#2.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Ciro-nanoDiscos\2018\a-RU_EB_3\a-RU_EB_3.stp
VSM Data File: C:\IDEASVSM\Default UserID\OSCAR GARZON\V2O3Ni_Inplane\NUEVOS DATOS\100K\BFO_425_SV_300K_MvsH_011018#2.dat

***DATA***

Field(Oe)	 Moment(emu)	 Temperature(K)	
 513.2154 	 0.0012024383 	 300.003 	
 493.22246 	 0.001174291 	 300.003 	
 473.23793 	 0.0011485872 	 300.004 	
 453.23774 	 0.0011147753 	 300.004 	
 433.23736 	 0.0010823383 	 300.004 	
 413.24189 	 0.0010557134 	 300.003 	
 393.24144 	 0.0010201175 	 300.004 	
 373.25159 	 0.00098861333 	 300.005 	
 353.25064 	 0.00095222229 	 300.004 	
 333.26005 	 0.00092013488 	 300.005 	
 313.26362 	 0.00088560451 	 300.005 	
 293.26525 	 0.00085145578 	 300.004 	
 273.27177 	 0.00080507944 	 300.005 	
 253.27642 	 0.00076694751 	 300.004 	
 233.283 	 0.00072781596 	 300.004 	
 213.29995 	 0.00068029052 	 300.004 	
 193.28593 	 0.00063520315 	 300.004 	
 172.9794 	 0.00059069016 	 300.005 	
 152.895 	 0.00053831027 	 300.005 	
 132.91317 	 0.00048250619 	 300.005 	
 112.94046 	 0.00042525249 	 300.005 	
 92.910363 	 0.00036743085 	 300.006 	
 72.904869 	 0.00030477264 	 300.006 	
 52.932978 	 0.00023855583 	 300.005 	
 32.911811 	 0.00016475827 	 300.005 	
 12.914013 	 0.000088661617 	 300.005 	
-7.0804126 	 0.000011640029 	 300.006 	
-27.074538 	-0.000068063993 	 300.005 	
-47.084932 	-0.00013943917 	 300.005 	
-67.074438 	-0.00021274128 	 300.005 	
-87.073314 	-0.0002714897 	 300.004 	
-107.08427 	-0.00033527512 	 300.004 	
-127.07678 	-0.00039605364 	 300.003 	
-147.06919 	-0.00044922375 	 300.004 	
-167.08247 	-0.00050171142 	 300.003 	
-187.0714 	-0.0005493803 	 300.002 	
-207.07018 	-0.00059529068 	 300.001 	
-227.06343 	-0.00064334202 	 300.001 	
-247.06941 	-0.00068530491 	 300.001 	
-267.05488 	-0.00072869271 	 300 	
-287.06135 	-0.00076552666 	 300.001 	
-307.06212 	-0.00080313307 	 300.002 	
-327.04912 	-0.00084070743 	 300 	
-347.04208 	-0.00087841361 	 300.001 	
-367.11896 	-0.00091421879 	 300.001 	
-387.2367 	-0.00094871194 	 300.002 	
-407.22351 	-0.00098319813 	 300.001 	
-427.2276 	-0.001016155 	 300.002 	
-447.22196 	-0.0010479769 	 300.003 	
-467.21124 	-0.0010768377 	 300.002 	
-487.20927 	-0.0011066446 	 300.002 	
-507.20241 	-0.001137152 	 300.004 	
-527.20562 	-0.0011643727 	 300.004 	
-547.19781 	-0.0011959491 	 300.004 	
-567.18722 	-0.0012177706 	 300.006 	
-587.28376 	-0.0012456479 	 300.006 	
-607.3768 	-0.0012690036 	 300.006 	
